neuterYn,sexCd,weight,noticeDays,age2,processState
N,F,1.48,11,1,0
N,M,1.83,11,1,0
N,F,2.54,11,6,0
N,M,4.5,11,1,1
N,M,3.4,11,1,1
N,M,21.32,10,3,0
N,M,2.52,10,0,1
N,M,2.32,10,0,1
U,F,3.7,7,3,1
U,F,4,10,4,0
U,F,3.5,10,8,0
U,M,4,11,8,1
U,F,2,11,1,0
U,M,7,11,6,0
U,F,9,11,5,0
U,F,6,11,5,0
N,F,6,11,4,0
N,M,23,11,4,1
N,M,1.9,11,1,1
N,M,30,11,4,1
N,M,1.2,11,1,1
N,F,4,11,6,1
Y,M,5,11,6,1
U,M,12.5,11,1,0
N,M,3.4,11,2,1
N,M,6.9,11,2,0
N,M,5.3,7,6,1
N,M,19,11,4,0
U,F,2.4,11,1,0
N,M,3.2,11,1,0
U,F,4,12,2,0
N,Q,12,12,1,0
N,M,4,12,5,0
N,F,4,12,4,0
N,M,7,8,2,0
N,F,6,12,3,1
N,M,0.6,12,1,1
N,F,0.5,12,1,1
N,F,0.5,12,1,1
N,F,5,12,3,0
N,M,3,12,1,0
N,M,3,12,1,1
N,F,8.5,9,3,0
N,F,16,9,3,1
N,F,1.2,9,1,1
N,F,6,9,9,1
N,M,9,9,2,1
N,M,8,12,4,0
U,F,9,10,3,0
N,M,4.56,9,8,0
N,M,20,12,5,0
N,M,3.1,12,1,1
N,M,3.3,12,3,1
N,M,4,12,1,1
U,F,6.5,12,7,1
N,F,3.5,12,1,1
N,F,18,14,1,0
N,M,2.4,10,1,1
U,F,10,10,2,1
N,F,12,10,4,0
N,F,1,10,1,0
N,F,1,10,1,0
N,F,1,10,1,0
U,F,1,10,1,0
N,F,7,10,4,0
U,M,16,10,7,1
N,F,30,10,2,1
U,F,3.8,10,3,1
N,M,4.5,10,6,0
U,F,5.2,11,9,1
U,M,2,11,4,0
N,M,9.2,11,1,0
N,M,9.3,11,1,0
N,M,11,11,1,0
U,F,12,11,4,0
U,F,10,11,2,0
N,F,7,11,2,0
N,M,7,11,2,0
N,M,4,11,11,0
N,M,5.4,11,1,0
U,F,5.7,11,1,0
U,F,5.4,11,1,0
U,F,10.8,11,2,0
U,F,2.6,11,1,1
U,F,16,11,4,0
U,F,3.7,11,1,0
U,F,3.4,11,1,0
N,M,3.6,11,1,0
N,M,4.4,11,1,0
N,F,10,11,2,0
U,F,2.2,11,7,1
U,F,4.1,11,9,0
N,M,2.5,11,1,1
N,M,5.3,11,1,0
N,M,11,11,3,0
U,F,10.2,11,3,0
U,F,7.3,11,1,0
N,M,4.2,11,11,1
U,F,5.8,11,3,0
N,M,9.3,11,2,0
N,M,1,11,1,0
N,M,1,12,1,1
N,M,15.66,9,3,0
N,F,3.85,9,1,0
U,F,3.84,9,1,0
N,F,3.82,9,1,0
N,M,3.82,9,1,0
N,F,6.54,9,4,0
N,M,11.36,9,3,0
N,F,4.76,9,3,0
U,Q,15,12,4,0
N,F,2,12,1,1
N,F,6,10,2,0
N,M,5,10,3,0
N,M,6,10,3,0
N,F,8,10,2,0
N,M,8,10,3,0
U,F,8,10,3,0
U,M,5,10,2,0
U,F,10,10,3,0
U,F,15,10,4,1
U,F,10,10,3,0
U,F,10,10,4,0
U,F,8,10,2,0
N,F,0.8,10,1,1
N,F,1,10,1,1
N,M,1.2,10,1,1
N,M,0.8,10,1,1
N,M,3.5,10,11,1
N,M,0.8,10,1,1
N,F,0.6,10,1,1
N,M,18,10,4,1
N,M,10,10,6,0
N,F,5,10,1,0
N,M,25,10,4,0
N,M,4.5,14,1,0
N,M,30,14,4,0
U,M,7,10,4,1
N,F,6,9,3,0
N,F,0.4,9,1,1
N,F,0.4,9,1,1
N,M,0.8,9,1,1
Y,M,3,9,6,1
U,F,6,10,2,1
U,M,4,10,1,0
U,M,10,10,3,1
U,M,0.2,10,1,0
U,M,0.2,10,1,0
U,F,0.2,10,1,0
N,M,0.2,10,1,0
U,F,2,10,2,0
N,M,1,10,1,0
N,F,0.7,10,1,0
N,F,40,9,6,1
N,M,13,10,3,0
N,M,8.4,10,1,1
N,M,7,10,1,0
N,F,7,10,1,0
N,M,7,10,2,1
N,M,2.5,10,2,1
N,M,5,9,6,0
N,F,2,9,1,0
N,M,2,9,1,0
N,M,2,9,1,0
U,F,0.5,10,1,1
N,M,9,10,3,1
N,F,3,10,6,1
N,F,3.5,11,6,1
U,M,2,10,2,1
Y,M,2.9,10,4,1
N,F,10.8,10,4,0
U,M,5,10,4,1
N,M,5.6,10,1,1
U,F,4.5,10,4,1
N,M,1,10,1,1
N,F,1,10,1,1
N,F,8.3,10,1,0
N,F,6.2,10,1,0
N,M,10,10,1,0
N,M,8.4,10,1,0
N,M,4,10,2,0
N,M,2,13,1,0
N,M,3.7,10,1,0
N,F,1,10,1,1
N,M,1.2,10,1,1
N,M,1.2,10,1,1
N,M,7,10,2,1
N,M,3,10,7,1
N,F,5.2,10,2,1
U,M,7,10,5,0
U,F,20,10,3,0
U,Q,4,10,11,0
U,M,2,10,2,1
U,F,4,10,4,1
N,M,1.5,10,4,1
