kindNum,sexCd,weight,noticeDays,processState
114,M,4,8,0
114,M,4,8,0
114,F,4,8,0
114,F,4,8,0
114,M,4,8,0
114,M,4,8,0
114,F,22,7,0
114,F,17,7,0
67,F,15,10,0
114,F,18,10,0
67,F,18,10,0
114,F,2.5,10,0
114,F,2.7,10,0
114,F,2.5,10,0
114,F,2.8,10,0
114,M,2.5,10,0
114,M,2.7,10,0
114,M,13,10,0
114,M,16,10,0
114,F,5.9,10,0
25,M,15,10,1
114,M,13,10,1
114,F,3.4,10,0
114,F,4.2,10,0
114,F,12.8,10,0
114,F,13.5,10,0
114,F,12,10,0
114,M,19,10,0
114,F,4.9,10,0
114,M,1.1,10,1
114,F,11.4,10,1
114,M,2.4,10,1
